Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
BA2326TFBHUG,super_BA2326,F12C12Y48,48,48.0,100.0,100.0,100.0,100.0
BA2609FVHQEY,super_BA2609,F0C0Y76,76,73.6,96.84,87.37,100.0,80.0
AA0231QWSTGP,super_AA0231,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0005EDBMBY,AA0005,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA3296BODEVU,AA3296,F12C12Y48,48,44.0,91.67,80.0,97.5,0.0
BA2248TFBHFH,BA2248,F0C0Y76,76,72.4,95.26,85.79,100.0,60.0
BA2393HFHTFB,BA2393,F16C0Y165,165,135.6,82.18,74.55,92.73,0.0
BA2495HFHTFB,BA2495,F0C0Y72,72,63.4,88.06,80.0,98.61,20.0
AA0190GBJBOD,AA0190,F0C0Y76,76,74.6,98.16,92.63,100.0,80.0
AA0006MBYEDB,AA0006,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0073KOVBOD,super_AA0073,F0C0Y76,76,72.2,95.0,80.0,100.0,80.0
BA2273TFBSEN,BA2273,F16C0Y165,165,77.6,47.03,40.85,52.97,0.0
BA2381ZZKTFB,BA2381,F0C0Y72,72,69.0,95.83,90.0,100.0,40.0
BA2433CJMTFB,BA2433,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0491TBOTFB,AA0491,F16C0Y165,165,156.8,95.03,91.52,100.0,40.0
BA2479ZMXTFB,BA2479,F0C0Y76,76,49.8,65.53,60.79,73.68,0.0
BA2227ZWSTFB,BA2227,F12C12Y48,48,47.2,98.33,93.33,100.0,80.0
AA0758TFBNDJ,AA0758,F16C0Y165,165,157.6,95.52,90.3,100.0,40.0
BA2133CPJTFB,BA2133,F0C0Y72,72,62.8,87.22,76.39,98.61,20.0
BA2314TFBZWS,BA2314,F16C0Y165,165,74.2,44.97,36.61,55.52,0.0
AA0860IOMTFB,AA0860,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0195BODGBJ,AA0195,F12C12Y48,48,15.6,32.5,26.25,38.33,0.0
AA0641UVTTFB,AA0641,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2246QEYTFB,BA2246,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2455CAOTFB,BA2455,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0184GBJBOD,AA0184,F12C12Y48,48,48.0,100.0,100.0,100.0,100.0
AA0064LUOTFB,super_AA0064,F0C0Y76,76,22.4,29.47,23.95,32.63,0.0
AA0585TOBQEY,AA0585,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0346TFBPBL,AA0346,F0C0Y76,76,75.8,99.74,98.95,100.0,80.0
AA0560QEYMBY,AA0560,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2400TFBCJM,BA2400,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2474TUTTFB,super_BA2474,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2451ZWSQEY,BA2451,F0C0Y72,72,32.2,44.72,37.5,59.72,0.0
BA2298FVHTFB,BA2298,F0C0Y76,76,42.8,56.32,50.26,61.84,0.0
