Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
BA2168TKDQEY,super_BA2168,F0C0Y76,76,60.4,79.47,77.63,82.37,0.0
BA2594TFBHFH,BA2594,F12C12Y48,48,24.4,50.83,32.92,65.42,0.0
AA3478QEYMHC,AA3478,F0C0Y76,76,73.0,96.05,87.63,100.0,40.0
AA0138BODPSE,AA0138,F0C0Y76,76,5.4,7.11,4.47,10.0,0.0
AA0303TGPTFB,AA0303,F16C0Y165,165,153.0,92.73,86.55,99.03,20.0
AA0452TFBMBY,AA0452,F16C0Y165,165,156.6,94.91,81.58,100.0,40.0
AA0191BODGBJ,AA0191,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0256MBYNFY,AA0256,F16C0Y165,165,156.0,94.55,88.97,100.0,40.0
AA0117TFBBOD,AA0117,F0C0Y76,76,75.0,98.68,94.74,100.0,80.0
BA2534GBUTFB,BA2534,F0C0Y76,76,59.8,78.68,69.74,92.89,0.0
BA2181TFBQEY,BA2181,F0C0Y76,76,69.0,90.79,71.05,100.0,60.0
AA0683PSEQEY,AA0683,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2078MBYTKD,BA2078,F0C0Y76,76,75.2,98.95,97.37,100.0,60.0
BA2199NNIMBY,BA2199,F0C0Y76,76,47.8,62.89,57.89,65.79,0.0
BA2571QEYPBL,BA2571,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0600TFBMBT,AA0600,F16C0Y165,165,105.8,64.12,57.94,70.3,0.0
BA2311QEYCPJ,BA2311,F0C0Y76,76,61.2,80.53,74.74,86.05,0.0
AA0812PHHTKD,AA0812,F16C0Y165,165,154.4,93.58,84.61,99.52,20.0
BA2338FVHQEY,BA2338,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2450QEYZWS,BA2450,F0C0Y76,76,73.2,96.32,89.47,100.0,40.0
AA0315TGPTFB,AA0315,F16C0Y165,165,164.2,99.52,98.06,100.0,80.0
AA0645QIYTFB,AA0645,F16C0Y165,165,161.2,97.7,91.88,100.0,60.0
AA0472TFBTBO,AA0472,F16C0Y165,165,127.6,77.33,68.73,82.55,0.0
BA2321HUGTFB,super_BA2321,F12C12Y48,48,26.4,55.0,48.75,62.92,0.0
AA0121TFBBOD,AA0121,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2284TFBGDB,BA2284,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0691HFHTFB,AA0691,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2537QEYCPJ,BA2537,F0C0Y72,72,62.4,86.67,73.89,98.06,20.0
BA2392TFBHFH,BA2392,F0C0Y76,76,67.6,88.95,66.32,100.0,40.0
AA0401TKDQEY,AA0401,F0C0Y76,76,75.2,98.95,95.79,100.0,80.0
BA2353HFHQEY,BA2353,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0477MBYTFB,AA0477,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0823PBLLPB,AA0823,F16C0Y165,165,160.4,97.21,89.94,100.0,60.0
AA0062KOVTJU,super_AA0062,F0C0Y76,76,36.2,47.63,37.37,61.84,0.0
AA0152PNFPUA,super_AA0152,F0C0Y76,76,2.0,2.63,0.26,5.0,0.0
AA0036TFBNTQ,AA0036,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2295TFBFVH,BA2295,F0C0Y76,76,42.0,55.26,50.79,58.68,0.0
BA2349NTPTFB,BA2349,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2081QEYFVH,BA2081,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0676TFBEFO,AA0676,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0119TFBBOD,AA0119,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0706ZWSMBY,AA0706,F16C0Y165,165,152.0,92.12,79.27,99.88,20.0
AA3461POUQEY,AA3461,F0C0Y76,76,68.8,90.53,78.68,99.74,20.0
AA0328TFBTKD,AA0328,F16C0Y165,165,164.8,99.88,99.52,100.0,80.0
BA2241HFHTFB,BA2241,F0C0Y76,76,75.0,98.68,96.32,100.0,60.0
BA2576TNGQEY,BA2576,F0C0Y76,76,72.6,95.53,82.11,100.0,80.0
AA0638TFBQIY,AA0638,F16C0Y165,165,161.0,97.58,91.76,100.0,60.0
AA0092BODTFB,AA0092,F16C0Y165,165,113.4,68.73,65.09,72.85,0.0
