Scenario_ID,Scenario_Revenue,Operating_Cost,Scenario_Profit,Scenario_Unmet_Demand
0,11868891.45,6426543.33,5442348.12,13983.0
1,11925202.9,6426543.33,5498659.57,14036.0
2,11944422.48,6426543.33,5517879.15,13524.0
3,11862014.52,6426543.33,5435471.18,13488.0
4,11855522.76,6426543.33,5428979.43,13402.0
