Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P047178,26.15,27.3,26.15,0.0,569.33,14887.96,AA2701BODMBT,AA2701,F16C0Y165,AA2701BODMBT,1.0856
P031145,65.0,69.65,65.0,0.0,229.0,14885.0,AA0860IOMTFB,AA0860,F16C0Y165,AA0860IOMTFB,6.12
P040198,67.85,66.91,67.85,0.0,216.0,14655.6,AA0867TFBPHH,AA0867,F16C0Y165,AA0867TFBPHH,7.5425
P041440,99.25,96.85,82.5,16.75,176.0,14520.0,AA0895TKDPHH,AA0895,F16C0Y165,AA0895TKDPHH,6.9925
P047189,29.1,27.3,29.1,0.0,490.2,14264.69,AA2702IOMCMJ,AA2702,F16C0Y165,AA2702IOMCMJ,1.7918
P031079,61.4,63.39,61.4,0.0,232.0,14244.8,AA0830IOMQEY,AA0830,F16C0Y165,AA0830IOMQEY,8.505
P033025,99.45,99.85,84.95,14.5,167.0,14186.65,AA0823PBLLPB,AA0823,F16C0Y165,AA0823PBLLPB,5.4275
P039813,59.25,68.42,59.25,0.0,237.0,14042.25,AA0859TFBIOM,AA0859,F16C0Y165,AA0859TFBIOM,9.245
P031243,106.25,110.3,80.95,25.3,171.0,13842.45,AA0828LPBPBL,AA0828,F16C0Y165,AA0828LPBPBL,7.2675
P034973,53.0,54.37,53.0,0.0,249.0,13197.0,AA0877QEYIOM,AA0877,F16C0Y165,AA0877QEYIOM,1.8275
P010816,86.8,91.79,86.8,0.0,150.0,13020.0,AA0250MBYTKE,AA0250,F16C0Y165,AA0250MBYTKE,2.705
P033201,75.3,72.96,73.7,1.6,176.0,12971.2,AA0850PHHPBL,AA0850,F16C0Y165,AA0850PHHPBL,2.5825
P016070,33.25,34.32,33.25,0.0,388.0,12901.0,AA0054TDDBOD,AA0054,F0C0Y76,AA0054TDDBOD,1.71
P031001,87.3,89.18,55.35,31.95,233.0,12896.55,AA0871IOMBOD,AA0871,F16C0Y165,AA0871IOMBOD,11.65
P031111,100.35,104.63,62.7,37.65,203.0,12728.1,AA0892IOMTBO,AA0892,F16C0Y165,AA0892IOMTBO,9.135
P004690,64.55,66.29,55.2,9.35,229.0,12640.8,AA0001EDBTFB,AA0001,F16C0Y165,AA0001EDBTFB,10.97
P002834,35.8,37.41,35.8,0.0,349.0,12494.2,AA0055BODTDD,,,AA0055BODTDD,0.0
P017414,85.0,81.95,82.95,2.05,143.0,11861.85,AA0038TFBNTQ,AA0038,F16C0Y165,AA0038TFBNTQ,5.77
P010161,108.65,103.92,87.95,20.7,134.0,11785.3,AA0256MBYNFY,AA0256,F16C0Y165,AA0256MBYNFY,5.36
P033291,45.35,46.55,45.35,0.0,257.0,11654.95,AA0858PHHTFB,AA0858,F16C0Y165,AA0858PHHTFB,11.1725
P016443,58.15,57.57,55.3,2.85,209.0,11557.7,AA0012TFBCPT,AA0012,F16C0Y165,AA0012TFBCPT,9.57
P016067,34.25,32.28,33.75,0.5,342.0,11542.5,AA0054TDDBOD,AA0054,F0C0Y76,AA0054TDDBOD,1.71
P033257,96.05,91.2,50.55,45.5,227.0,11474.85,AA0862PHHQEY,AA0862,F16C0Y165,AA0862PHHQEY,11.35
P033268,40.2,39.05,40.2,0.0,283.0,11376.6,AA0890PHHTBO,AA0890,F16C0Y165,AA0890PHHTBO,8.78
P016081,29.3,30.01,29.3,0.0,388.0,11368.4,AA0055TDDBOD,,,AA0055TDDBOD,0.0
P002837,29.35,30.42,29.35,0.0,385.0,11299.75,AA0055BODTDD,,,AA0055BODTDD,0.0
P031112,38.05,36.38,38.05,0.0,292.0,11110.6,AA0892IOMTBO,AA0892,F16C0Y165,AA0892IOMTBO,9.135
P010563,70.55,67.0,70.55,0.0,155.0,10935.25,AA0254MBYQWS,AA0254,F16C0Y165,AA0254MBYQWS,4.4775
P020012,73.35,74.23,73.35,0.0,148.0,10855.8,AA0255TKEMBY,AA0255,F16C0Y165,AA0255TKEMBY,5.445
P002826,28.15,27.1,28.15,0.0,385.0,10837.75,AA0053BODTDD,AA0053,F0C0Y76,AA0053BODTDD,0.0
P031002,38.7,37.85,38.7,0.0,279.0,10797.3,AA0871IOMBOD,AA0871,F16C0Y165,AA0871IOMBOD,11.65
P008204,97.2,94.56,89.15,8.05,120.0,10698.0,AA0649MBTCMJ,AA0649,F16C0Y165,AA0649MBTCMJ,5.5875
P017784,100.9,99.36,100.9,0.0,106.0,10695.4,AA0558TFBQTQ,AA0558,F16C0Y165,AA0558TFBQTQ,0.395
P033267,88.15,90.72,59.95,28.2,178.0,10671.1,AA0890PHHTBO,AA0890,F16C0Y165,AA0890PHHTBO,8.78
