Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
BA2250SOPTFB,5.24,0.4499,4.795,6.1
BA2324TFBHUG,2.685,2.4321,0.0,5.25
BA2358QEYHFH,0.0,0.0,0.0,0.0
AA3481TCBTFB,6.355,0.8305,4.8975,7.55
BA2314TFBZWS,1.015,1.6004,0.0,4.255
AA0245MBYTFB,1.76,2.1556,0.0,4.4
BA2382TFBZZK,0.0,0.0,0.0,0.0
BA2355HFHQEY,2.16,1.0042,0.0,2.8
AA0317QTQTGP,4.45,0.0,4.45,4.45
AA0231TGPTFB,3.965,1.3973,0.0,5.3
BA2055TFBQEY,0.0,0.0,0.0,0.0
BA2057TFBQEY,2.54,0.7706,0.94,3.2
AA0373TNGTFB,4.725,0.4592,4.2425,5.3725
BA2225HFHTFB,0.0,0.0,0.0,0.0
BA2411HFHTFB,1.2775,1.6368,0.0,3.6
AA0708ZWSMBY,3.1625,1.8706,0.0,5.8
AA3460QEYPOU,2.08,1.8715,0.0,4.15
BA2383ZZKTFB,0.0,0.0,0.0,0.0
AA0042CFUBOD,0.0,0.0,0.0,0.0
BA2541QEYTNG,3.24,0.1744,3.2,3.24
BA2215MXTQVX,0.0,0.0,0.0,0.0
BA2500TGPQEY,4.055,0.0218,4.05,4.055
BA2579ZFHTFB,0.0,0.0,0.0,0.0
AA0233TBOTFB,0.0,0.0,0.0,0.0
BA2495HFHTFB,0.33,0.7262,0.0,1.7525
AA0245NFYMBY,6.55,0.0,6.55,6.55
BA2168QTQTKD,0.0475,0.207,0.0,0.0475
AA0051BODGBJ,5.56,1.0539,4.2375,6.765
AA0754TFBTUM,6.08,1.3948,6.08,6.4
AA3477MHCTFB,3.65,0.0,3.65,3.65
AA0059TFBKOV,4.665,3.8299,0.0,8.625
AA0372TFBTNG,4.78,1.2731,3.04,5.95
AA0516TFBTOB,4.2275,0.9699,4.2275,4.45
BA2445HFHTFB,4.155,0.4427,3.6,4.85
BA2352QEYHFH,0.0,0.0,0.0,0.0
AA3296BODEVU,1.3525,4.3239,0.0,9.2725
BA2092NGSQEY,0.13,0.5667,0.0,0.13
BA2107QTDTFB,0.0,0.0,0.0,0.0
BA2473TUTMBT,5.5425,3.7542,0.0,9.0
AA3294BODEVU,0.0,0.0,0.0,0.0
AA0631QIYTFB,6.645,0.1604,6.55,6.915
BA2486TFBCMJ,1.535,0.2286,1.1975,1.81
BA2604MBQMBY,4.3125,2.2023,0.0,5.8875
AA0112BODTFB,0.965,1.621,0.0,4.1075
AA0080BODTFB,0.36,1.5692,0.0,0.36
AA0327TKDTFB,2.015,2.0664,0.0,4.3
AA0845CMJIOM,2.975,3.6437,0.0,7.45
BA2056QEYTFB,0.0525,0.1593,0.0,0.4575
AA0231QWSTGP,6.835,0.9494,5.85,7.3
AA0109TFBBOD,10.705,0.8786,9.1,12.1375
AA0312TFBTGP,4.35,0.3571,4.2,5.2
AA0479MBYQEY,3.5225,1.1279,1.3275,4.2
AA0487TBOTFB,6.25,0.0,6.25,6.25
BA2259TFBSOP,4.9675,0.2886,4.64,5.6
AA0676TFBEFO,5.4175,0.848,4.05,6.45
BA2474TUTTFB,4.915,0.345,4.8,5.95
AA0404QEYTKD,3.565,1.7975,0.0,4.725
AA3464QEYPOU,0.25,0.8405,0.0,1.42
BA2105QTDTFB,2.2975,1.1101,0.475,3.4
AA0527CVSTFB,3.15,2.0622,0.0,4.5
BA2047TFBQEY,0.2675,0.7947,0.0,2.0125
AA0580QEYTOB,1.78,2.0143,0.0,4.3
