Product,Max_Demand,Sold_Tickets,Legs,Tasks,Assigned_Fleets
P000401,6.76,6.76,AA0055BODCSX,,
P000402,0.33,0.33,AA0055BODCSX,,
P000404,4.03,4.03,AA0055BODCSX,,
P000405,0.04,0.04,AA0055BODCSX,,
P000406,17.669999999999998,17.67,AA0055BODCSX,,
P000409,5.956678201717469,5.96,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F0C0Y76
P000412,0.7200000000000001,0.72,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F0C0Y76
P000417,5.610784410339152,5.61,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F0C0Y76
P000422,12.678788126990671,12.68,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F0C0Y76 -> F16C0Y165
P000423,0.7200000000000001,0.72,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F0C0Y76 -> F16C0Y165
P000428,5.27,5.27,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F0C0Y76 -> F16C0Y165
P000429,0.36,0.36,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F16C0Y165 -> F16C0Y165
P000431,5.7160670621993015,5.72,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F16C0Y165 -> F16C0Y165
P000439,5.874847104252954,5.87,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F16C0Y165 -> F16C0Y165
P000451,0.36,0.36,AA0082BODTFB -> AA0520TFBCVS,AA0082 -> AA0520,F16C0Y165 -> F16C0Y165
P000485,17.26796098308241,12.27,AA0136BODQEY -> AA3488QEYCVS,AA0136 -> AA3488,F16C0Y165 -> F16C0Y165
P000498,21.06798457678733,21.07,AA0066BODDEW,super_AA0066,F0C0Y76
P000499,12.578252409706849,12.58,AA0066BODDEW,super_AA0066,F0C0Y76
P000500,2.35,2.35,AA0066BODDEW,super_AA0066,F0C0Y76
P000503,23.05615057384016,8.25,AA0066BODDEW,super_AA0066,F0C0Y76
P000504,17.35613740260675,17.36,AA0066BODDEW,super_AA0066,F0C0Y76
P000505,10.32,10.32,AA0066BODDEW,super_AA0066,F0C0Y76
P000511,4.7596044451320205,4.76,AA0112BODTFB -> AA0004TFBEDB,AA0112 -> AA0004,F16C0Y165 -> F16C0Y165
P000528,4.9481923611580605,4.95,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F16C0Y165 -> F16C0Y165
P000533,4.7596044451320205,4.76,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F16C0Y165 -> F16C0Y165
P000550,4.485530858137278,4.49,AA0120BODTFB -> AA0002TFBEDB,AA0120 -> AA0002,F16C0Y165 -> F16C0Y165
P000571,5.563756134659494,5.56,AA0080BODTFB -> AA0678TFBEFO,AA0080 -> AA0678,F16C0Y165 -> F16C0Y165
P000577,1.49,1.49,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000581,11.907518728549809,11.91,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000582,0.29,0.29,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000588,0.4,0.4,AA0108BODTFB -> AA0676TFBEFO,AA0108 -> AA0676,F16C0Y165 -> F16C0Y165
P000591,0.1399999999999999,0.14,AA0108BODTFB -> AA0676TFBEFO,AA0108 -> AA0676,F16C0Y165 -> F16C0Y165
P000592,0.7700000000000002,0.77,AA0108BODTFB -> AA0676TFBEFO,AA0108 -> AA0676,F16C0Y165 -> F16C0Y165
P000604,5.5544215088663,5.55,AA0112BODTFB -> AA0676TFBEFO,AA0112 -> AA0676,F16C0Y165 -> F16C0Y165
P000609,0.34,0.34,AA0114BODTFB -> AA0676TFBEFO,AA0114 -> AA0676,F16C0Y165 -> F16C0Y165
P000610,4.861071222422962,4.86,AA0114BODTFB -> AA0676TFBEFO,AA0114 -> AA0676,F16C0Y165 -> F16C0Y165
P000620,12.271829938420192,12.27,AA0120BODTFB -> AA0672TFBEFO,AA0120 -> AA0672,F16C0Y165 -> F16C0Y165
P000626,0.6300000000000001,0.63,AA0120BODTFB -> AA0672TFBEFO,AA0120 -> AA0672,F16C0Y165 -> F16C0Y165
P000652,19.442245479561493,19.44,AA0108BODTFB -> AA0670TFBEGX,AA0108 -> AA0670,F16C0Y165 -> F16C0Y165
P000670,0.58,0.58,AA0112BODTFB -> AA0670TFBEGX,AA0112 -> AA0670,F16C0Y165 -> F16C0Y165
P000692,0.3,0.3,AA0120BODTFB -> AA0660TFBEGX,AA0120 -> AA0660,F16C0Y165 -> F16C0Y165
P000723,22.931668847854,22.93,AA0090BODTFB -> BA2281TFBFVH,AA0090 -> BA2281,F16C0Y165 -> F16C0Y165
P000739,5.796495131320095,5.8,AA0096BODTFB -> BA2299TFBFVH,AA0096 -> BA2299,F16C0Y165 -> F16C0Y165
P000756,22.899344969474143,22.9,AA0112BODTFB -> BA2295TFBFVH,AA0112 -> BA2295,F16C0Y165 -> F16C0Y165
P000760,17.26154315452261,17.26,AA0114BODTFB -> BA2295TFBFVH,AA0114 -> BA2295,F16C0Y165 -> F16C0Y165
P000767,23.00670051942777,23.01,AA0114BODTFB -> BA2295TFBFVH,AA0114 -> BA2295,F16C0Y165 -> F16C0Y165
P000778,23.119373278020603,23.12,AA0134BODQEY -> BA2644QEYFVH,AA0134 -> super_BA2644,F16C0Y165 -> F16C0Y165
P000783,1.05,1.05,AA0082BODTFB -> AA0014TFBFXS,AA0082 -> AA0014,F16C0Y165 -> F16C0Y165
P000801,11.66617904009988,11.67,AA0096BODTFB -> AA0014TFBFXS,AA0096 -> AA0014,F16C0Y165 -> F16C0Y165
P000827,10.03,10.03,AA0051BODGBJ,super_AA0051,F0C0Y76
P000828,19.471425244714045,19.03,AA0051BODGBJ,super_AA0051,F0C0Y76
P000829,7.13,7.13,AA0051BODGBJ,super_AA0051,F0C0Y76
P000830,0.51,0.51,AA0051BODGBJ,super_AA0051,F0C0Y76
P000831,3.95,3.95,AA0051BODGBJ,super_AA0051,F0C0Y76
P000835,10.98,10.98,AA0051BODGBJ,super_AA0051,F0C0Y76
P000837,18.161944615914265,18.16,AA0055BODGBJ,super_AA0055,F16C0Y165
P000838,3.16,3.16,AA0055BODGBJ,super_AA0055,F16C0Y165
P000839,20.43175758030324,20.43,AA0055BODGBJ,super_AA0055,F16C0Y165
P000840,15.51,15.51,AA0055BODGBJ,super_AA0055,F16C0Y165
P000841,5.019955994398034,5.02,AA0055BODGBJ,super_AA0055,F16C0Y165
P000842,2.25,2.25,AA0055BODGBJ,super_AA0055,F16C0Y165
P000843,3.303463181045841,3.3,AA0055BODGBJ,super_AA0055,F16C0Y165
P000845,2.29,2.29,AA0055BODGBJ,super_AA0055,F16C0Y165
P000846,15.22,15.22,AA0055BODGBJ,super_AA0055,F16C0Y165
P000847,0.3,0.3,AA0181BODGBJ,AA0181,F16C0Y165
P000848,23.361584274123523,23.36,AA0181BODGBJ,AA0181,F16C0Y165
P000849,14.59,14.59,AA0181BODGBJ,AA0181,F16C0Y165
P000850,24.75952644274241,24.76,AA0181BODGBJ,AA0181,F16C0Y165
P000851,7.979999999999999,7.98,AA0181BODGBJ,AA0181,F16C0Y165
P000852,0.95,0.95,AA0181BODGBJ,AA0181,F16C0Y165
P000853,18.64506476519233,18.65,AA0181BODGBJ,AA0181,F16C0Y165
P000856,11.830517720985355,11.83,AA0181BODGBJ,AA0181,F16C0Y165
P000857,13.560000000000002,13.56,AA0181BODGBJ,AA0181,F16C0Y165
P000858,0.04,0.04,AA0183BODGBJ,AA0183,F16C0Y165
P000859,12.760000000000002,12.76,AA0183BODGBJ,AA0183,F16C0Y165
P000860,10.95,10.95,AA0183BODGBJ,AA0183,F16C0Y165
P000861,5.62,5.62,AA0183BODGBJ,AA0183,F16C0Y165
P000862,5.8500000000000005,5.85,AA0183BODGBJ,AA0183,F16C0Y165
P000863,0.04,0.04,AA0183BODGBJ,AA0183,F16C0Y165
P000864,11.9,11.9,AA0183BODGBJ,AA0183,F16C0Y165
P000865,0.04,0.04,AA0183BODGBJ,AA0183,F16C0Y165
P000866,0.04,0.04,AA0183BODGBJ,AA0183,F16C0Y165
P000867,6.65,6.65,AA0183BODGBJ,AA0183,F16C0Y165
P000868,14.560000000000002,14.56,AA0183BODGBJ,AA0183,F16C0Y165
P000870,26.245808832547247,26.25,AA0187BODGBJ,AA0187,F16C0Y165
P000871,5.169999999999998,5.17,AA0187BODGBJ,AA0187,F16C0Y165
P000872,21.71902824568726,21.72,AA0187BODGBJ,AA0187,F16C0Y165
P000873,3.74,3.74,AA0187BODGBJ,AA0187,F16C0Y165
P000874,5.100974465822642,5.1,AA0187BODGBJ,AA0187,F16C0Y165
P000875,9.218959945440892,9.22,AA0187BODGBJ,AA0187,F16C0Y165
P000877,22.80979925290466,22.81,AA0187BODGBJ,AA0187,F16C0Y165
P000878,11.331776050830555,11.33,AA0187BODGBJ,AA0187,F16C0Y165
P000879,8.36,8.36,AA0187BODGBJ,AA0187,F16C0Y165
P000881,24.64428884070302,24.64,AA0189BODGBJ,AA0189,F16C0Y165
P000882,4.75,4.75,AA0189BODGBJ,AA0189,F16C0Y165
P000883,20.034570414815292,20.03,AA0189BODGBJ,AA0189,F16C0Y165
P000884,7.779999999999999,7.78,AA0189BODGBJ,AA0189,F16C0Y165
P000885,0.33,0.33,AA0189BODGBJ,AA0189,F16C0Y165
P000886,5.56,5.56,AA0189BODGBJ,AA0189,F16C0Y165
P000888,22.812972950024594,22.81,AA0189BODGBJ,AA0189,F16C0Y165
P000889,11.930899290944907,11.93,AA0189BODGBJ,AA0189,F16C0Y165
P000890,5.96,5.96,AA0189BODGBJ,AA0189,F16C0Y165
P000892,28.564149581622047,28.56,AA0191BODGBJ,AA0191,F16C0Y165
P000893,7.21,7.21,AA0191BODGBJ,AA0191,F16C0Y165
P000894,20.423459011405757,20.42,AA0191BODGBJ,AA0191,F16C0Y165
P000895,12.13,12.13,AA0191BODGBJ,AA0191,F16C0Y165
P000896,4.886132113694794,4.89,AA0191BODGBJ,AA0191,F16C0Y165
P000897,8.7,8.7,AA0191BODGBJ,AA0191,F16C0Y165
P000898,3.308534337475569,3.31,AA0191BODGBJ,AA0191,F16C0Y165
P000899,22.79712249483576,22.8,AA0191BODGBJ,AA0191,F16C0Y165
