Origin,Destination,Flight1,Flight2,Flight3,Class,Fare,sales_total,true_demand_gompertz,correction_factor,n_stops,duration_min,Host_share
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,K,245.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,L,341.0,1.6600000000000001,1.6600000000000001,1.0,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,M,399.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,Q,40.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,S,492.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,T,301.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,V,388.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0084BODTFB,.,Y,349.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,B,512.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,G,252.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,H,512.0,0.5,0.5002348278561949,1.0004696557123898,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,K,245.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,L,341.0,1.5,1.5,1.0,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,M,399.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,Q,40.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,S,492.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,T,301.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,V,388.0,0.0,0.0,,1,51,0.998076509
BER,TFB,AA0048BERBOD,AA0096BODTFB,.,Y,349.0,1.0,1.0004696798607187,1.0004696798607187,1,51,0.998076509
BOD,BER,AA0047BODBER,.,.,B,240.0,4.66,4.662188708407398,1.0004696799157506,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,G,94.0,0.0,0.0,,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,H,89.0,0.33,0.3301549863970744,1.0004696557487103,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,K,104.0,0.67,0.67,1.0,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,L,134.0,10.98,10.98,1.0,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,M,213.0,2.33,2.33,1.0,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,Q,67.0,3.33,3.33,1.0,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,S,75.0,0.0,0.0,,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,T,97.0,1.0,1.0,1.0,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,V,129.0,1.0,1.0004696798607187,1.0004696798607187,0,58,0.383225539
BOD,BER,AA0047BODBER,.,.,Y,190.0,16.009999999999998,16.01,1.0000000000000002,0,58,0.383225539
BOD,BER,AA0049BODBER,.,.,B,240.0,1.72,1.7208078494075132,1.000469679888089,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,G,94.0,0.04,0.04,1.0,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,H,89.0,0.36000000000000004,0.36000000000000004,1.0,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,K,104.0,0.34,0.34,1.0,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,L,134.0,12.139999999999997,12.14,1.0000000000000002,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,M,213.0,3.06,3.0614372204896956,1.0004696798985933,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,Q,67.0,2.96,2.96,1.0,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,S,75.0,0.0,0.0,,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,T,97.0,0.37,0.37,1.0,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,V,129.0,1.17,1.1700000000000002,1.0000000000000002,0,57,0.383225539
BOD,BER,AA0049BODBER,.,.,Y,190.0,9.83,9.83,1.0,0,57,0.383225539
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,B,509.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,G,281.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,H,477.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,K,354.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,L,331.0,0.66,0.66,1.0,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,M,510.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,Q,126.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,S,586.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,T,242.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,V,362.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0112BODTFB,AA0742TFBBUM,.,Y,290.0,0.0,0.0,,1,-4295,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,B,509.0,0.0,0.0,,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,G,281.0,0.0,0.0,,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,H,477.0,0.0,0.0,,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,K,354.0,0.79,0.79,1.0,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,L,331.0,1.3,1.3,1.0,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,M,510.0,0.0,0.0,,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,Q,126.0,0.0,0.0,,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,S,586.0,0.0,0.0,,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,T,242.0,0.0,0.0,,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,V,362.0,0.33,0.33,1.0,1,-4300,0.259807794
BOD,BUM,AA0114BODTFB,AA0742TFBBUM,.,Y,290.0,0.33,0.3301549863970744,1.0004696557487103,1,-4300,0.259807794
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,B,597.21,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,G,283.0,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,H,449.0,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,K,273.0,0.34,0.34,1.0,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,L,329.0,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,M,473.0,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,Q,128.0,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,S,624.0,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,T,232.0,0.12000000000000001,0.12000000000000001,1.0,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,V,295.0,0.0,0.0,,1,-4300,0.341013375
BOD,BVT,AA0114BODTFB,AA0668TFBBVT,.,Y,323.0,0.32,0.3201502898392633,1.0004696557476978,1,-4300,0.341013375
BOD,CFU,AA0041BODCFU,.,.,B,188.0,4.35,4.3500000000000005,1.0000000000000002,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,G,134.0,0.33,0.33,1.0,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,H,223.0,15.17,15.17712504444531,1.0004696799238832,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,K,117.0,1.6700000000000002,1.67,0.9999999999999999,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,L,175.0,11.679999999999998,11.68,1.0000000000000002,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,M,245.0,6.55,6.553076403276454,1.000469679889535,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,Q,116.0,2.67,2.67,1.0,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,S,58.0,0.0,0.0,,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,T,120.0,0.7000000000000001,0.7000000000000001,1.0,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,V,67.0,0.66,0.66,1.0,0,73,0.849172178
BOD,CFU,AA0041BODCFU,.,.,Y,252.0,17.58,17.579999999999995,0.9999999999999998,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,B,188.0,1.54,1.54,1.0,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,G,134.0,0.03,0.030014086712270453,1.0004695570756819,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,H,223.0,13.309999999999999,13.309999999999999,1.0,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,K,117.0,0.03,0.030014086712270453,1.0004695570756819,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,L,175.0,30.409999999999997,30.40999999999999,0.9999999999999998,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,M,245.0,10.579999999999998,10.58,1.0000000000000002,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,Q,116.0,16.75,16.75,1.0,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,S,58.0,0.0,0.0,,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,T,120.0,0.05,0.050023477854462345,1.0004695570892468,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,V,67.0,0.03,0.030014086712270453,1.0004695570756819,0,73,0.849172178
BOD,CFU,AA0043BODCFU,.,.,Y,252.0,25.910000000000004,25.909999999999997,0.9999999999999998,0,73,0.849172178
BOD,CFU,AA0045BODCFU,.,.,B,188.0,3.0900000000000003,3.091451310912035,1.0004696799068074,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,G,134.0,0.7100000000000001,0.7100000000000001,1.0,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,H,223.0,5.04,5.042367186711941,1.0004696799031627,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,K,117.0,0.0,0.0,,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,L,175.0,11.95,11.95,1.0,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,M,245.0,8.169999999999998,8.173837284576395,1.000469679874712,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,Q,116.0,1.0,1.0,1.0,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,S,58.0,0.0,0.0,,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,T,120.0,1.9700000000000002,1.9700000000000002,1.0,0,72,0.849172178
BOD,CFU,AA0045BODCFU,.,.,V,67.0,1.77,1.77,1.0,0,72,0.849172178
