Product,Historical_Demand,MC_Mean_Demand,Expected_Sold,Std_Sold,P5_Sold,P95_Sold,Expected_Unmet,Fare,Legs,Tasks,Assigned_Fleets
P000114,1.3,1.4,1.4,0.8,0.2,2.0,0.0,331.0,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000119,0.33,0.2,0.2,0.4,0.0,0.8,0.0,362.0,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000120,0.33,0.2,0.2,0.4,0.0,0.8,0.0,290.0,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F0C0Y76
P000124,0.34,0.0,0.0,0.0,0.0,0.0,0.0,273.0,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000129,0.12,0.2,0.2,0.4,0.0,0.8,0.0,232.0,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000131,0.32,0.0,0.0,0.0,0.0,0.0,0.0,323.0,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F0C0Y76 -> F16C0Y165
P000132,4.35,3.8,3.8,0.98,3.0,5.0,0.0,188.0,AA0041BODCFU,AA0041,F0C0Y76
P000133,0.33,0.6,0.6,0.49,0.0,1.0,0.0,134.0,AA0041BODCFU,AA0041,F0C0Y76
P000134,15.17,14.6,14.6,4.67,9.6,21.4,0.0,223.0,AA0041BODCFU,AA0041,F0C0Y76
P000135,1.67,2.0,2.0,1.26,0.2,3.0,0.0,117.0,AA0041BODCFU,AA0041,F0C0Y76
P000136,11.68,10.2,10.2,1.83,7.6,12.0,0.0,175.0,AA0041BODCFU,AA0041,F0C0Y76
P000137,6.55,5.4,5.4,2.42,3.2,9.0,0.0,245.0,AA0041BODCFU,AA0041,F0C0Y76
P000138,3.32,3.6,3.6,2.24,2.0,7.0,0.0,116.0,AA0041BODCFU,AA0041,F0C0Y76
P000140,0.7,0.6,0.6,0.49,0.0,1.0,0.0,120.0,AA0041BODCFU,AA0041,F0C0Y76
P000141,0.66,1.2,1.2,0.98,0.2,2.6,0.0,67.0,AA0041BODCFU,AA0041,F0C0Y76
P000142,17.58,19.4,19.4,4.72,14.0,24.8,0.0,252.0,AA0041BODCFU,AA0041,F0C0Y76
P000143,3.07,3.0,3.0,2.0,0.4,5.6,0.0,188.0,AA0043BODCFU,AA0043,F0C0Y76
P000144,0.03,0.0,0.0,0.0,0.0,0.0,0.0,134.0,AA0043BODCFU,AA0043,F0C0Y76
P000145,13.31,14.2,14.2,2.32,11.2,16.8,0.0,223.0,AA0043BODCFU,AA0043,F0C0Y76
P000146,0.03,0.0,0.0,0.0,0.0,0.0,0.0,117.0,AA0043BODCFU,AA0043,F0C0Y76
P000147,30.41,31.8,18.4,6.56,10.2,27.0,13.4,175.0,AA0043BODCFU,AA0043,F0C0Y76
P000148,10.58,8.4,8.4,1.5,7.0,10.6,0.0,245.0,AA0043BODCFU,AA0043,F0C0Y76
P000149,16.75,20.0,0.0,0.0,0.0,0.0,20.0,116.0,AA0043BODCFU,AA0043,F0C0Y76
P000151,0.05,0.2,0.0,0.0,0.0,0.0,0.2,120.0,AA0043BODCFU,AA0043,F0C0Y76
P000152,0.03,0.0,0.0,0.0,0.0,0.0,0.0,67.0,AA0043BODCFU,AA0043,F0C0Y76
P000153,25.91,28.2,28.2,6.24,18.8,33.8,0.0,252.0,AA0043BODCFU,AA0043,F0C0Y76
P000154,3.09,3.0,3.0,1.41,1.2,4.8,0.0,188.0,AA0045BODCFU,AA0045,F0C0Y76
P000155,0.71,0.6,0.6,0.49,0.0,1.0,0.0,134.0,AA0045BODCFU,AA0045,F0C0Y76
P000156,14.6,14.4,14.4,3.67,10.6,19.8,0.0,223.0,AA0045BODCFU,AA0045,F0C0Y76
P000158,11.95,13.0,13.0,3.35,8.2,16.6,0.0,175.0,AA0045BODCFU,AA0045,F0C0Y76
P000159,8.17,7.6,7.6,2.15,5.2,10.6,0.0,245.0,AA0045BODCFU,AA0045,F0C0Y76
P000160,1.0,1.0,1.0,0.89,0.0,2.0,0.0,116.0,AA0045BODCFU,AA0045,F0C0Y76
P000162,2.74,2.8,2.8,2.04,0.4,5.6,0.0,120.0,AA0045BODCFU,AA0045,F0C0Y76
P000163,4.55,5.0,4.2,2.93,0.6,7.8,0.8,67.0,AA0045BODCFU,AA0045,F0C0Y76
P000164,11.19,10.6,10.6,2.73,7.2,13.8,0.0,252.0,AA0045BODCFU,AA0045,F0C0Y76
P000175,0.23,0.0,0.0,0.0,0.0,0.0,0.0,318.0,AA0084BODTFB -> BA2302TFBCJM,AA0084 -> BA2302,F16C0Y165 -> F0C0Y76
P000177,3.03,3.2,3.2,2.14,1.2,6.4,0.0,267.0,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F0C0Y76 -> F0C0Y76
P000181,0.6,0.2,0.2,0.4,0.0,0.8,0.0,470.0,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F0C0Y76 -> F0C0Y76
P000186,0.29,0.2,0.2,0.4,0.0,0.8,0.0,318.0,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F0C0Y76 -> F0C0Y76
P000188,1.08,1.2,1.2,0.98,0.2,2.6,0.0,267.0,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y76 -> F16C0Y165
P000191,0.23,0.4,0.4,0.49,0.0,1.0,0.0,312.0,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y76 -> F16C0Y165
P000192,0.3,0.0,0.0,0.0,0.0,0.0,0.0,470.0,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y76 -> F16C0Y165
P000196,0.81,1.6,1.6,1.2,0.2,3.0,0.0,295.0,BA2302TFBCJM -> AA0092BODTFB,BA2302 -> AA0092,F0C0Y76 -> F16C0Y165
P000198,0.32,0.6,0.6,0.49,0.0,1.0,0.0,487.0,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F0C0Y76 -> F16C0Y165
P000202,0.32,0.4,0.4,0.49,0.0,1.0,0.0,316.0,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F0C0Y76 -> F16C0Y165
P000208,0.32,0.2,0.2,0.4,0.0,0.8,0.0,406.0,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F0C0Y76 -> F16C0Y165
