Leg,Task,Origin,Destination,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Total_Passengers,Expected_Load(%),Load_Factor(%),Bottleneck_Freq(%),Expected_Shadow_Price,Shadow_Price,Attributed_Revenue,Revenue_Contribution,Revenue_Per_Pax,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
BA2380TFBZZK,BA2380,TFB,ZZK,BA2380,F16C0Y165,165,135.6,135.6,82.18,82.18,0.0,0.0,0.0,17130.54,17130.54,126.33,51,17130.54,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0024TFBCPT,AA0024,TFB,CPT,AA0024,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,27.0,27.0,15034.9,15034.9,197.83,18,17086.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0232TFBTBO,AA0232,TFB,TBO,super_AA0232,F16C0Y165,165,134.6,134.6,81.58,81.58,0.0,0.0,0.0,17026.97,17026.97,126.5,25,17026.97,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0304TFBTGP,AA0304,TFB,TGP,AA0304,F16C0Y165,165,145.2,145.2,88.0,88.0,20.0,1.08,1.08,16811.5,16811.5,115.78,14,16989.7,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0474TFBMBY,AA0474,TFB,MBY,AA0474,F16C0Y165,165,149.2,149.2,90.42,90.42,20.0,0.0,0.0,16984.9,16984.9,113.84,33,16984.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0848MJITKD,AA0848,MJI,TKD,AA0848,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,35.0,35.0,14301.75,14301.75,188.18,6,16961.75,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3296BODEVU,AA3296,BOD,EVU,AA3296,F12C12Y48,48,44.0,44.0,91.67,91.67,0.0,0.0,0.0,16957.8,16957.8,385.4,17,16957.8,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0683PSEQEY,AA0683,PSE,QEY,AA0683,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,34.04,34.04,14294.2,14294.2,188.08,31,16881.24,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2014QEYTFB,BA2014,QEY,TFB,BA2014,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,10.2,10.2,15193.12,15193.12,92.08,162,16876.12,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0325TKDTFB,AA0325,TKD,TFB,AA0325,F16C0Y165,165,159.8,159.8,96.85,96.85,40.0,4.2,4.2,16147.1,16147.1,101.05,39,16840.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2473TUTMBT,BA2473,TUT,MBT,super_BA2473,F0C0Y76,76,72.0,72.0,94.74,94.74,60.0,20.08,20.08,15296.0,15296.0,212.44,8,16822.08,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3295EVUBOD,AA3295,EVU,BOD,AA3295,F12C12Y48,48,39.6,39.6,82.5,82.5,40.0,14.88,14.88,16107.2,16107.2,406.75,10,16821.44,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0327TKDTFB,AA0327,TKD,TFB,AA0327,F16C0Y165,165,148.0,148.0,89.7,89.7,20.0,3.44,3.44,16239.2,16239.2,109.72,32,16806.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0363TNGTFB,AA0363,TNG,TFB,AA0363,F16C0Y165,165,136.0,136.0,82.42,82.42,0.0,0.0,0.0,16710.3,16710.3,122.87,52,16710.3,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0225TGPQEY,AA0225,TGP,QEY,super_AA0225,F16C0Y165,165,151.8,151.8,92.0,92.0,40.0,1.52,1.52,16455.4,16455.4,108.4,26,16706.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0648TFBUVT,AA0648,TFB,UVT,AA0648,F16C0Y165,165,115.8,115.8,70.18,70.18,0.0,0.0,0.0,16631.8,16631.8,143.63,10,16631.8,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0121TFBBOD,AA0121,TFB,BOD,AA0121,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,32.32,32.32,14153.8,14153.8,186.23,91,16610.12,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0704ZWSMBY,AA0704,ZWS,MBY,AA0704,F16C0Y165,165,123.4,123.4,74.79,74.79,0.0,0.0,0.0,16604.1,16604.1,134.56,10,16604.1,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0865TKDMJI,AA0865,TKD,MJI,AA0865,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,35.4,35.4,13883.8,13883.8,182.68,9,16574.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3299EVUBOD,AA3299,EVU,BOD,AA3299,F12C12Y48,48,41.4,41.4,86.25,86.25,20.0,16.4,16.4,15762.4,15762.4,380.73,13,16549.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0323TKDTFB,AA0323,TKD,TFB,AA0323,F16C0Y165,165,139.0,139.0,84.24,84.24,0.0,0.0,0.0,16500.9,16500.9,118.71,19,16500.9,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0650QEYQIY,AA0650,QEY,QIY,AA0650,F16C0Y165,165,124.4,124.4,75.39,75.39,0.0,0.0,0.0,16434.1,16434.1,132.11,20,16434.1,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0233TBOTFB,AA0233,TBO,TFB,super_AA0233,F16C0Y165,165,118.6,118.6,71.88,71.88,0.0,0.0,0.0,16413.4,16413.4,138.39,34,16413.4,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0517TOBTFB,AA0517,TOB,TFB,AA0517,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,24.0,24.0,14586.5,14586.5,191.93,33,16410.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3297EVUBOD,AA3297,EVU,BOD,AA3297,F12C12Y48,48,40.6,40.6,84.58,84.58,0.0,0.0,0.0,16217.0,16217.0,399.43,6,16217.0,Keep,This leg does not currently exhibit a strong adjustment signal.
BA2478MBTTUT,BA2478,MBT,TUT,super_BA2478,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,21.0,21.0,14615.0,14615.0,192.3,13,16211.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0303TGPTFB,AA0303,TGP,TFB,AA0303,F16C0Y165,165,153.0,153.0,92.73,92.73,20.0,2.16,2.16,15828.27,15828.27,103.45,45,16184.67,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2018QEYTFB,BA2018,QEY,TFB,BA2018,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,5.24,5.24,15272.42,15272.42,92.56,173,16137.02,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0106BODTFB,AA0106,BOD,TFB,AA0106,F16C0Y165,165,45.4,45.4,27.52,27.52,0.0,0.0,0.0,16097.4,16097.4,354.57,15,16097.4,Downgauge,"This leg has limited scarcity signal and relatively low load, suggesting smaller capacity may fit."
AA0558TFBQTQ,AA0558,TFB,QTQ,AA0558,F16C0Y165,165,128.0,128.0,77.58,77.58,0.0,0.0,0.0,16038.2,16038.2,125.3,20,16038.2,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0307TGPTFB,AA0307,TGP,TFB,super_AA0307,F16C0Y165,165,151.8,151.8,92.0,92.0,0.0,0.0,0.0,15996.4,15996.4,105.38,31,15996.4,Keep,This leg does not currently exhibit a strong adjustment signal.
BA2269CPJTFB,BA2269,CPJ,TFB,BA2269,F16C0Y165,165,145.4,145.4,88.12,88.12,20.0,2.92,2.92,15396.0,15396.0,105.89,59,15877.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0488TFBTBO,AA0488,TFB,TBO,AA0488,F16C0Y165,165,141.6,141.6,85.82,85.82,0.0,0.0,0.0,15870.0,15870.0,112.08,18,15870.0,Keep,This leg does not currently exhibit a strong adjustment signal.
BA2136TFBCPJ,BA2136,TFB,CPJ,BA2136,F16C0Y165,165,129.2,129.2,78.3,78.3,0.0,0.0,0.0,15791.9,15791.9,122.23,15,15791.9,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0663EGXTFB,AA0663,EGX,TFB,AA0663,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,28.4,28.4,13610.6,13610.6,179.09,33,15769.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0342TFBPBL,AA0342,TFB,PBL,AA0342,F16C0Y165,165,137.8,137.8,83.52,83.52,0.0,0.0,0.0,15735.1,15735.1,114.19,20,15735.1,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0316TFBTGP,AA0316,TFB,TGP,AA0316,F16C0Y165,165,126.2,126.2,76.48,76.48,0.0,0.0,0.0,15621.53,15621.53,123.78,29,15621.53,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0111TFBBOD,AA0111,TFB,BOD,AA0111,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,28.64,28.64,13423.8,13423.8,176.63,80,15600.44,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0472TFBTBO,AA0472,TFB,TBO,AA0472,F16C0Y165,165,127.6,127.6,77.33,77.33,0.0,0.0,0.0,15526.3,15526.3,121.68,31,15526.3,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0152BODPNF,AA0152,BOD,PNF,super_AA0152,F0C0Y76,76,71.6,71.6,94.21,94.21,40.0,11.24,11.24,14651.9,14651.9,204.64,18,15506.14,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2386TFBZZK,BA2386,TFB,ZZK,BA2386,F16C0Y165,165,130.0,130.0,78.79,78.79,0.0,0.0,0.0,15496.2,15496.2,119.2,29,15496.2,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0082BODTFB,AA0082,BOD,TFB,AA0082,F16C0Y165,165,82.4,82.4,49.94,49.94,0.0,0.0,0.0,15428.0,15428.0,187.23,60,15428.0,Downgauge,"This leg has limited scarcity signal and relatively low load, suggesting smaller capacity may fit."
BA2584TFBZFH,BA2584,TFB,ZFH,BA2584,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,27.44,27.44,13277.4,13277.4,174.7,83,15362.84,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0326TFBTKD,AA0326,TFB,TKD,AA0326,F16C0Y165,165,132.4,132.4,80.24,80.24,0.0,0.0,0.0,15347.3,15347.3,115.92,27,15347.3,Keep,This leg does not currently exhibit a strong adjustment signal.
BA2565QEYTNG,BA2565,QEY,TNG,BA2565,F16C0Y165,165,151.6,151.6,91.88,91.88,0.0,0.0,0.0,15323.2,15323.2,101.08,31,15323.2,Keep,This leg does not currently exhibit a strong adjustment signal.
BA2215QVXTFB,BA2215,QVX,TFB,super_BA2215,F16C0Y165,165,148.8,148.8,90.18,90.18,20.0,2.36,2.36,14870.73,14870.73,99.94,36,15260.13,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2502CPJQEY,BA2502,CPJ,QEY,BA2502,F16C0Y165,165,158.0,158.0,95.76,95.76,20.0,2.4,2.4,14769.07,14769.07,93.48,69,15165.07,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2296FVHTFB,BA2296,FVH,TFB,BA2296,F16C0Y165,165,154.4,154.4,93.58,93.58,20.0,1.0,1.0,14827.4,14827.4,96.03,83,14992.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3481TCBTFB,AA3481,TCB,TFB,AA3481,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,25.2,25.2,13065.0,13065.0,171.91,21,14980.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0220TFBTGP,AA0220,TFB,TGP,super_AA0220,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,25.04,25.04,13053.1,13053.1,171.75,19,14956.14,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0631QIYTFB,AA0631,QIY,TFB,AA0631,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,26.36,26.36,12923.13,12923.13,170.04,69,14926.49,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
