Leg,Task,Origin,Destination,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Total_Passengers,Expected_Load(%),Load_Factor(%),Bottleneck_Freq(%),Expected_Shadow_Price,Shadow_Price,Attributed_Revenue,Revenue_Contribution,Revenue_Per_Pax,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA2701BODMBT,AA2701,BOD,MBT,AA2701,F16C0Y165,165,146.0,146.0,88.48,88.48,0.0,0.0,0.0,70585.03,70585.03,483.46,9,70585.03,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0004TFBEDB,AA0004,TFB,EDB,AA0004,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,51.88,51.88,55359.8,55359.8,335.51,39,63920.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0123TFBGBJ,AA0123,TFB,GBJ,AA0123,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,53.72,53.72,54201.0,54201.0,328.49,128,63064.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA2702IOMCMJ,AA2702,IOM,CMJ,AA2702,F16C0Y165,165,146.6,146.6,88.85,88.85,0.0,0.0,0.0,61619.7,61619.7,420.33,9,61619.7,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0871IOMBOD,AA0871,IOM,BOD,AA0871,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,46.6,46.6,46180.0,46180.0,279.88,11,53869.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0875TFBMJI,AA0875,TFB,MJI,AA0875,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,49.0,49.0,42900.92,42900.92,260.01,37,50985.92,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0862PHHQEY,AA0862,PHH,QEY,AA0862,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,45.4,45.4,43427.77,43427.77,263.2,64,50918.77,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0001EDBTFB,AA0001,EDB,TFB,AA0001,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,42.6,42.6,43422.63,43422.63,263.17,53,50451.63,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0851TFBIOM,AA0851,TFB,IOM,AA0851,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,47.4,47.4,42615.3,42615.3,258.27,93,50436.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0129TFBGBJ,AA0129,TFB,GBJ,AA0129,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,37.76,37.76,43255.43,43255.43,262.15,140,49485.83,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0002TFBEDB,AA0002,TFB,EDB,AA0002,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,42.56,42.56,42297.9,42297.9,256.35,49,49320.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0012TFBCPT,AA0012,TFB,CPT,AA0012,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,37.96,37.96,42534.0,42534.0,257.78,26,48797.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0852IOMTFB,AA0852,IOM,TFB,AA0852,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,43.96,43.96,40982.0,40982.0,248.38,40,48235.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0083TFBBOD,AA0083,TFB,BOD,AA0083,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,43.0,43.0,41059.8,41059.8,248.85,98,48154.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0087TFBBOD,AA0087,TFB,BOD,AA0087,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,44.2,44.2,40493.97,40493.97,245.42,256,47786.97,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0810LPBTFB,AA0810,LPB,TFB,AA0810,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,38.08,38.08,41458.61,41458.61,251.26,37,47741.81,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0854MJITFB,AA0854,MJI,TFB,AA0854,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,46.6,46.6,38880.7,38880.7,235.64,52,46569.7,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0099TFBBOD,AA0099,TFB,BOD,AA0099,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,37.88,37.88,40219.27,40219.27,243.75,184,46469.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0860IOMTFB,AA0860,IOM,TFB,AA0860,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,39.08,39.08,39894.4,39894.4,241.78,11,46342.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0858PHHTFB,AA0858,PHH,TFB,AA0858,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,44.76,44.76,38428.68,38428.68,232.9,79,45814.08,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0870BODIOM,AA0870,BOD,IOM,AA0870,F16C0Y165,165,157.4,157.4,95.39,95.39,80.0,32.48,32.48,39775.8,39775.8,252.71,14,45135.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0892IOMTBO,AA0892,IOM,TBO,AA0892,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,40.6,40.6,38312.8,38312.8,232.2,10,45011.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0137QEYBOD,AA0137,QEY,BOD,AA0137,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,29.84,29.84,38934.17,38934.17,235.96,95,43857.77,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0089TFBBOD,AA0089,TFB,BOD,AA0089,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,31.2,31.2,38303.47,38303.47,232.14,210,43451.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0017NJBTFB,AA0017,NJB,TFB,AA0017,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,31.6,31.6,38190.0,38190.0,231.45,38,43404.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0097TFBBOD,AA0097,TFB,BOD,AA0097,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,32.6,32.6,37799.7,37799.7,229.09,295,43178.7,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0890PHHTBO,AA0890,PHH,TBO,AA0890,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,34.96,34.96,36986.4,36986.4,224.16,10,42754.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0891TBOIOM,AA0891,TBO,IOM,AA0891,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,37.8,37.8,36234.17,36234.17,219.6,20,42471.17,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0018TFBNDP,AA0018,TFB,NDP,AA0018,F16C0Y165,165,163.6,163.6,99.15,99.15,80.0,27.36,27.36,37449.3,37449.3,228.91,30,41963.7,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0878PHHTFB,AA0878,PHH,TFB,AA0878,F16C0Y165,165,163.2,163.2,98.91,98.91,80.0,34.24,34.24,36226.4,36226.4,221.98,11,41876.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0809QEYPHH,AA0809,QEY,PHH,AA0809,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,41.52,41.52,34939.0,34939.0,211.75,40,41789.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0861QEYPHH,AA0861,QEY,PHH,AA0861,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,40.76,40.76,34795.1,34795.1,210.88,57,41520.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0859TFBIOM,AA0859,TFB,IOM,AA0859,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,37.4,37.4,35179.2,35179.2,213.21,101,41350.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0008TFBFXS,AA0008,TFB,FXS,AA0008,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,32.0,32.0,35990.4,35990.4,218.12,39,41270.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0830IOMQEY,AA0830,IOM,QEY,AA0830,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,33.8,33.8,35498.92,35498.92,215.14,55,41075.92,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0828LPBPBL,AA0828,LPB,PBL,AA0828,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,34.2,34.2,34481.8,34481.8,208.98,8,40124.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0030QEYCPT,AA0030,QEY,CPT,AA0030,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,30.68,30.68,34348.9,34348.9,208.18,21,39411.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0843TFBLPB,AA0843,TFB,LPB,AA0843,F16C0Y165,165,161.4,161.4,97.82,97.82,60.0,21.08,21.08,35308.17,35308.17,218.76,49,38786.37,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0023PSETFB,AA0023,PSE,TFB,AA0023,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,33.6,33.6,32986.8,32986.8,199.92,87,38530.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0835PBLIOM,AA0835,PBL,IOM,AA0835,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,34.6,34.6,32794.9,32794.9,198.76,19,38503.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0015CPTTFB,AA0015,CPT,TFB,AA0015,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,30.0,30.0,33517.2,33517.2,203.13,23,38467.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0093TFBBOD,AA0093,TFB,BOD,AA0093,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,25.36,25.36,34121.2,34121.2,206.8,197,38305.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0742TFBBUM,AA0742,TFB,BUM,AA0742,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,32.48,32.48,32917.4,32917.4,199.5,22,38276.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0825TBOPHH,AA0825,TBO,PHH,AA0825,F16C0Y165,165,164.6,164.6,99.76,99.76,80.0,28.68,28.68,33417.0,33417.0,203.02,9,38149.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0020TFBPSE,AA0020,TFB,PSE,AA0020,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,33.32,33.32,32604.8,32604.8,197.6,70,38102.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0006MBYEDB,AA0006,MBY,EDB,AA0006,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,23.92,23.92,33981.63,33981.63,205.95,49,37928.43,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0836IOMPBL,AA0836,IOM,PBL,AA0836,F16C0Y165,165,164.6,164.6,99.76,99.76,80.0,28.96,28.96,33055.2,33055.2,200.82,10,37833.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0743BUMTFB,AA0743,BUM,TFB,AA0743,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,32.4,32.4,32278.9,32278.9,195.63,26,37624.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0754TFBTUM,AA0754,TFB,TUM,AA0754,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,25.6,25.6,33086.2,33086.2,200.52,10,37310.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0259QWSMBY,AA0259,QWS,MBY,AA0259,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,31.2,31.2,32013.1,32013.1,194.02,50,37161.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0003EDBTFB,AA0003,EDB,TFB,AA0003,F16C0Y165,165,156.8,156.8,95.03,95.03,20.0,4.96,4.96,36165.9,36165.9,230.65,49,36984.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0549QTQTFB,AA0549,QTQ,TFB,AA0549,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,27.2,27.2,32203.5,32203.5,195.17,24,36691.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0838IOMTKD,AA0838,IOM,TKD,AA0838,F16C0Y165,165,164.4,164.4,99.64,99.64,80.0,28.48,28.48,31878.2,31878.2,193.91,7,36577.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0119TFBBOD,AA0119,TFB,BOD,AA0119,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,31.32,31.32,31294.47,31294.47,189.66,163,36462.27,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0025CPTTFB,AA0025,CPT,TFB,AA0025,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,29.4,29.4,31464.87,31464.87,190.7,56,36315.87,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0846MJIPBL,AA0846,MJI,PBL,AA0846,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,32.8,32.8,30853.21,30853.21,186.99,8,36265.21,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0660TFBEGX,AA0660,TFB,EGX,AA0660,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,27.04,27.04,31769.4,31769.4,192.54,59,36231.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0895TKDPHH,AA0895,TKD,PHH,AA0895,F16C0Y165,165,162.4,162.4,98.42,98.42,80.0,19.6,19.6,32633.1,32633.1,200.94,29,35867.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0894LPBTKD,AA0894,LPB,TKD,AA0894,F16C0Y165,165,163.2,163.2,98.91,98.91,80.0,28.96,28.96,30913.6,30913.6,189.42,9,35692.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0867TFBPHH,AA0867,TFB,PHH,AA0867,F16C0Y165,165,162.6,162.6,98.55,98.55,80.0,27.28,27.28,30981.73,30981.73,190.54,55,35482.93,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0021PSETFB,AA0021,PSE,TFB,AA0021,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,30.56,30.56,30036.7,30036.7,182.04,73,35079.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0120BODTFB,AA0120,BOD,TFB,AA0120,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,29.32,29.32,30233.3,30233.3,183.23,127,35071.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0251TKEMBY,AA0251,TKE,MBY,AA0251,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,29.6,29.6,30012.2,30012.2,181.89,37,34896.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0755TUMTFB,AA0755,TUM,TFB,AA0755,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,25.4,25.4,30512.4,30512.4,184.92,17,34703.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0101TFBBOD,AA0101,TFB,BOD,AA0101,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,23.56,23.56,30514.37,30514.37,184.94,191,34401.77,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0841PBLPHH,AA0841,PBL,PHH,AA0841,F16C0Y165,165,157.6,157.6,95.52,95.52,60.0,21.36,21.36,30849.4,30849.4,195.74,9,34373.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0036TFBNTQ,AA0036,TFB,NTQ,AA0036,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,28.6,28.6,29450.5,29450.5,178.49,20,34169.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0812PHHTKD,AA0812,PHH,TKD,AA0812,F16C0Y165,165,154.4,154.4,93.58,93.58,20.0,7.32,7.32,32958.2,32958.2,213.46,9,34166.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0661EGXTFB,AA0661,EGX,TFB,AA0661,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,21.92,21.92,30069.3,30069.3,182.24,76,33686.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0850PHHPBL,AA0850,PHH,PBL,AA0850,F16C0Y165,165,151.8,151.8,92.0,92.0,40.0,14.08,14.08,31362.8,31362.8,206.61,10,33686.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0837TKDIOM,AA0837,TKD,IOM,AA0837,F16C0Y165,165,163.4,163.4,99.03,99.03,80.0,24.76,24.76,29587.17,29587.17,181.07,24,33672.57,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0011FXSTFB,AA0011,FXS,TFB,AA0011,F16C0Y165,165,163.8,163.8,99.27,99.27,60.0,17.04,17.04,30807.67,30807.67,188.08,65,33619.27,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0005EDBMBY,AA0005,EDB,MBY,AA0005,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,25.44,25.44,29414.23,29414.23,178.27,52,33611.83,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0671BVTTFB,AA0671,BVT,TFB,AA0671,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,26.84,26.84,29127.1,29127.1,176.53,21,33555.7,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0823PBLLPB,AA0823,PBL,LPB,AA0823,F16C0Y165,165,160.4,160.4,97.21,97.21,60.0,20.04,20.04,30053.3,30053.3,187.36,19,33359.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0730TFBJBI,AA0730,TFB,JBI,super_AA0730,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,23.4,23.4,29468.9,29468.9,178.6,37,33329.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0686QEYPSE,AA0686,QEY,PSE,AA0686,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,26.44,26.44,28929.2,28929.2,175.33,51,33291.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0019NDPTFB,AA0019,NDP,TFB,AA0019,F16C0Y165,165,157.2,157.2,95.27,95.27,40.0,6.0,6.0,31709.6,31709.6,201.72,29,32699.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0879PBLMJI,AA0879,PBL,MJI,AA0879,F16C0Y165,165,160.4,160.4,97.21,97.21,60.0,20.28,20.28,29346.99,29346.99,182.96,8,32693.19,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0759NDJTFB,AA0759,NDJ,TFB,AA0759,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,20.08,20.08,28909.7,28909.7,175.21,26,32222.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0845CMJIOM,AA0845,CMJ,IOM,AA0845,F16C0Y165,165,157.0,157.0,95.15,95.15,60.0,17.88,17.88,28884.1,28884.1,183.98,42,31834.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0731JBITFB,AA0731,JBI,TFB,super_AA0731,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,24.2,24.2,27794.1,27794.1,168.45,26,31787.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0877QEYIOM,AA0877,QEY,IOM,AA0877,F16C0Y165,165,145.4,145.4,88.12,88.12,20.0,7.04,7.04,30619.5,30619.5,210.59,27,31781.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0233TKETBO,AA0233,TKE,TBO,super_AA0233,F16C0Y165,165,145.8,145.8,88.36,88.36,20.0,3.56,3.56,31098.1,31098.1,213.29,24,31685.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0227HEMTKD,AA0227,HEM,TKD,super_AA0227,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,27.0,27.0,27105.6,27105.6,164.28,7,31560.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0038TFBNTQ,AA0038,TFB,NTQ,AA0038,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,21.64,21.64,27880.6,27880.6,168.97,22,31451.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0244MBYNFY,AA0244,MBY,NFY,super_AA0244,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,26.8,26.8,26908.3,26908.3,163.08,11,31330.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0225TKETGP,AA0225,TKE,TGP,super_AA0225,F16C0Y165,165,161.8,161.8,98.06,98.06,60.0,16.8,16.8,28513.9,28513.9,176.23,24,31285.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0022TFBPSE,AA0022,TFB,PSE,AA0022,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,25.04,25.04,26864.6,26864.6,162.82,60,30996.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0245NFYMBY,AA0245,NFY,MBY,super_AA0245,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,26.2,26.2,26471.4,26471.4,160.43,9,30794.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0668TFBBVT,AA0668,TFB,BVT,AA0668,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,20.2,20.2,27248.9,27248.9,165.14,17,30581.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0029PSETFB,AA0029,PSE,TFB,AA0029,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,23.44,23.44,26434.4,26434.4,160.21,47,30302.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0641UVTTFB,AA0641,UVT,TFB,AA0641,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,22.24,22.24,26530.7,26530.7,160.79,17,30200.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0635QIYTFB,AA0635,QIY,TFB,AA0635,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,26.2,26.2,25776.6,25776.6,156.22,45,30099.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0103TFBBOD,AA0103,TFB,BOD,AA0103,F16C0Y165,165,158.0,158.0,95.76,95.76,20.0,4.84,4.84,28997.15,28997.15,183.53,138,29795.75,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0255TKEMBY,AA0255,TKE,MBY,AA0255,F16C0Y165,165,163.4,163.4,99.03,99.03,80.0,17.2,17.2,26539.4,26539.4,162.42,28,29377.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0605MBTTFB,AA0605,MBT,TFB,AA0605,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,22.0,22.0,25710.8,25710.8,155.82,49,29340.8,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0016TFBNJB,AA0016,TFB,NJB,AA0016,F16C0Y165,165,153.6,153.6,93.09,93.09,20.0,6.6,6.6,28206.85,28206.85,183.64,17,29295.85,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0676TFBEFO,AA0676,TFB,EFO,AA0676,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,22.52,22.52,25538.1,25538.1,154.78,51,29253.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0037NTQTFB,AA0037,NTQ,TFB,AA0037,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,20.6,20.6,25359.53,25359.53,153.69,40,28758.53,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0075TFBKOV,AA0075,TFB,KOV,AA0075,F16C0Y165,165,150.4,150.4,91.15,91.15,20.0,0.0,0.0,28545.7,28545.7,189.8,86,28545.7,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
