Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA0457MBYTFB,18.68,2.16,17.6,21.92
BA2056QEYTFB,0.0,0.0,0.0,0.0
BA2408TFBZWS,15.96,0.72,15.6,17.04
AA0661EGXTFB,21.92,1.76,19.28,22.8
AA0055BODGBJ,13.76,11.4608,0.0,25.0
AA0454TFBMBY,4.72,6.915,0.0,15.4
AA0245MBYTFB,10.56,8.6222,0.0,17.6
AA0635QIYTFB,26.2,0.0,26.2,26.2
AA0029PSETFB,23.44,2.08,22.4,26.56
AA0062GBJBOD,17.0,0.0,17.0,17.0
AA0312TGPQTQ,15.68,1.44,14.0,17.36
AA0563MBYQEY,16.8,0.0,16.8,16.8
AA0835PBLIOM,34.6,0.0,34.6,34.6
AA0568QEYMBY,12.4,6.4299,2.44,16.6
AA3464QEYPOU,0.0,0.0,0.0,0.0
AA0709MBYZWS,18.48,9.2413,4.56,23.2
BA2034SENQEY,0.0,0.0,0.0,0.0
BA2116TFBZZD,17.32,8.6631,4.24,21.8
AA0628CMJMBT,17.0,0.0,17.0,17.0
AA0254MBYQWS,20.24,3.4627,15.04,23.0
BA2235HFHTFB,14.76,0.72,14.4,15.84
AA0304TFBTGP,1.08,2.16,0.0,4.32
BA2118TFBZZD,21.6,0.3098,21.12,21.8
BA2478TUTQEY,0.0,0.0,0.0,0.0
AA0539POUTFB,3.44,6.88,0.0,13.76
AA0137QEYBOD,29.84,4.7302,26.2,36.8
BA2347NTPTFB,5.16,7.2138,0.0,16.2
AA0082BODTFB,0.0,0.0,0.0,0.0
AA0007FXSTFB,39.36,0.9499,38.6,40.68
BA2222SENTFB,0.8,0.9798,0.0,2.0
AA0226TKDHEM,0.0,0.0,0.0,0.0
BA2339QEYFVH,0.0,0.0,0.0,0.0
BA2350QEYHFH,1.32,2.64,0.0,5.28
BA2642QEYTFB,5.16,4.32,0.0,9.84
AA0879PBLMJI,20.28,16.5586,0.0,33.8
AA0255TKEMBY,17.2,9.2148,3.56,25.2
AA0064XSHLUO,0.0,0.0,0.0,0.0
AA0106BODTFB,0.0,0.0,0.0,0.0
AA0851TFBIOM,47.4,0.0,47.4,47.4
AA0362TFBTNG,0.0,0.0,0.0,0.0
AA0495TBOTFB,18.4,0.0,18.4,18.4
