Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P034561,4.8,4.5,4.8,0.0,447.0,2145.6,AA0123TFBGBJ -> BA2018QEYTFB,AA0123 -> BA2018,F16C0Y165 -> F16C0Y165,AA0123TFBGBJ,53.72
P026542,12.4,10.42,12.4,0.0,173.0,2145.2,BA2296FVHTFB,BA2296,F16C0Y165,BA2296FVHTFB,1.0
P031075,6.2,6.26,6.2,0.0,346.0,2145.2,AA0830IOMQEY,AA0830,F16C0Y165,AA0830IOMQEY,33.8
P021861,11.0,9.44,11.0,0.0,195.0,2145.0,AA0065XSHBOD,,,AA0065XSHBOD,0.0
P010561,15.2,16.37,15.2,0.0,141.0,2143.2,AA0254MBYQWS,AA0254,F16C0Y165,AA0254MBYQWS,20.24
P018185,9.0,9.67,9.0,0.0,238.0,2142.0,AA0362TFBTNG,AA0362,F16C0Y165,AA0362TFBTNG,0.0
P020018,12.6,13.44,12.6,0.0,170.0,2142.0,AA0255TKEMBY,AA0255,F16C0Y165,AA0255TKEMBY,17.2
P036388,17.0,18.27,17.0,0.0,126.0,2142.0,BA2246QEYTFB,BA2246,F16C0Y165,BA2246QEYTFB,9.96
P047157,10.2,9.92,10.2,0.0,209.6,2137.92,BA2700NGSMBY,BA2700,F16C0Y165,BA2700NGSMBY,1.9664
P020073,12.0,10.32,12.0,0.0,178.0,2136.0,AA0233TKETBO,super_AA0233,F16C0Y165,AA0233TKETBO,3.56
P031474,19.4,19.45,19.4,0.0,110.0,2134.0,BA2420MBYNGS,BA2420,F0C0Y76,BA2420MBYNGS,19.28
P044540,8.4,7.52,8.4,0.0,254.0,2133.6,AA0119TFBBOD -> BA2638PBLTFB,AA0119 -> BA2638,F16C0Y165 -> F0C0Y76,AA0119TFBBOD,31.32
P016693,5.4,4.09,5.4,0.0,395.0,2133.0,AA0083TFBBOD -> AA3294BODEVU,AA0083 -> AA3294,F16C0Y165 -> F12C12Y48,AA0083TFBBOD,43.0
P019839,12.4,11.64,12.4,0.0,172.0,2132.8,AA0325TKDTFB,AA0325,F16C0Y165,AA0325TKDTFB,4.2
P001214,11.4,13.02,11.4,0.0,187.0,2131.8,AA0062BODLUO,,,AA0062BODLUO,0.0
P017180,16.0,16.28,16.0,0.0,133.0,2128.0,AA0606TFBMBT,AA0606,F16C0Y165,AA0606TFBMBT,20.6
P017781,8.0,8.79,8.0,0.0,266.0,2128.0,AA0558TFBQTQ,AA0558,F16C0Y165,AA0558TFBQTQ,0.0
P013111,9.8,9.22,9.8,0.0,217.0,2126.6,AA0560QEYMBY,AA0560,F16C0Y165,AA0560QEYMBY,16.6
P042593,15.4,15.01,15.4,0.0,138.0,2125.2,AA0704ZWSMBY,AA0704,F16C0Y165,AA0704ZWSMBY,0.0
P046555,18.8,19.68,18.8,0.0,113.0,2124.4,BA2634TGPQEY,BA2634,F0C0Y76,BA2634TGPQEY,18.72
